tweetcreatedts;username;text;source;tweet_clean;tweet_english;klasifikasi
26/02/2023 23:48;LiliFatima3;prabu sutra pun kompak untuk dukung pak prabowo menang pilpres  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;prabu sutra pun kompak untuk dukung pak prabowo menang pilpres capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;prabu sutra is also compact to support pak prabowo to win the presidential election of the presidential candidate for the decade of the decade of madubersamapowo, mendprabowo prabowo, my spirit;Positif
26/02/2023 23:48;LiliFatima3;wih bangunkan untuk dukung prabowo capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;wih bangunkan untuk dukung prabowo capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;wih wake up to support prabowo presidential candidates for the election of the decade, then majubersamaprabowo mendingprabowo prabowo my spirit;Netral
26/02/2023 23:47;LiliFatima3;kami prawiro indonesia milenial ini hadir bukan sebagai objek politik tetapi kami subjek yang ikut berkontribusi untuk bangsa dan negara ujar harry capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;kami prawiro indonesia milenial ini hadir bukan sebagai objek politik tetapi kami subjek yang ikut berkontribusi untuk bangsa dan negara ujar harry capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;we, prawiro indonesia millennial, are present not as political objects but we are subjects who contribute to the nation and state, said harry, the candidate for the decade of decades, terminamajubersamapowo;Netral
26/02/2023 23:47;LiliFatima3;ketua prawiro indonesia menyatakan dukungan tersebut merupakan bentuk kehadiran milenial untuk mendukung prabowo menjadi capres  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;ketua prawiro indonesia menyatakan dukungan tersebut merupakan bentuk kehadiran milenial untuk mendukung prabowo menjadi capres capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;chairperson of prawiro indonesia stated that the support was a form of millennial presence to support prabowo to become the presidential candidate for the termina decade election.;Netral
26/02/2023 23:46;LiliFatima3;prawiro indonesia milenial  resmi mendeklarasikan diri mendukung prabowo subianto sebagai calon presiden di pilpres  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;prawiro indonesia milenial resmi mendeklarasikan diri mendukung prabowo subianto sebagai calon presiden di pilpres capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;prawiro indonesia milenial officially declared to support prabowo subianto as a presidential candidate in the presidential election of the presidential presidential candidate for the continuous decad;Netral
26/02/2023 23:46;kesyaAna2;prawiro indonesia milenial resmi dukung prabowo subianto capres  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;prawiro indonesia milenial resmi dukung prabowo subianto capres capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;prawiro indonesia millennial officially supports prabowo subianto candidate for presidential candidates for decade elections.;Netral
26/02/2023 23:45;kesyaAna2;sebelumnya sandi juga telah kampanyekan prabowo subianto pada acara jalan sehat dan pesta rakyat dalam rangka peringatan hut partai gerindra ke  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;sebelumnya sandi juga telah kampanyekan prabowo subianto pada acara jalan sehat dan pesta rakyat dalam rangka peringatan hut partai gerindra ke capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;previously sandi had also campaigned prabowo subianto at the healthy walk and people's party event in commemoration of the anniversary of the gerindra party to the candidate for the election of decades.;Positif
26/02/2023 23:45;LiliFatima3;kerja kerja ini kata dasco menentukan kemenangan ketua umum prabowo subianto di pilpres  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;kerja kerja ini kata dasco menentukan kemenangan ketua umum prabowo subianto di pilpres capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;this job of this job said dasco determined the victory of chairman prabowo subianto at the presidential election of the presidential candidate for decades.;Netral
26/02/2023 23:44;kesyaAna2;dasco menginstruksikan seluruh kader gerindra segera memanaskan mesin partai untuk pemilu  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;dasco menginstruksikan seluruh kader gerindra segera memanaskan mesin partai untuk pemilu capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;dasco instructed all gerindra cadres to immediately heat up the party engine for the election of the presidential candidate for decades.;Netral
26/02/2023 23:44;LiliFatima3;partai gerindra harus mengambil peranan itu agar prabowo menang menjadi presiden kata sandiaga capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;partai gerindra harus mengambil peranan itu agar prabowo menang menjadi presiden kata sandiaga capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;the gerindra party must take that role so that prabowo wins to become president of the sandiaga candidate for the decade election candidate, the public decad;Positif
26/02/2023 23:43;LiliFatima3;karena itu sandiaga mengajak kader gerindra sultra untuk rajin rajin melakukan sesuatu yang bermanfaat bagi gerindra capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;karena itu sandiaga mengajak kader gerindra sultra untuk rajin rajin melakukan sesuatu yang bermanfaat bagi gerindra capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;therefore sandiaga invites gerindra sultra cadres to be diligent in doing something that is useful for gerindra candidates for decade elections.;Positif
26/02/2023 23:43;LiliFatima3;dalam kesempatan ini sandiaga berharap kemenangan prabowo di sultra pada pemilu  lalu bisa kembali terulang capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;dalam kesempatan ini sandiaga berharap kemenangan prabowo di sultra pada pemilu lalu bisa kembali terulang capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;on this occasion sandiaga hoped that prabowo's victory in southeast sulawesi in the last election could be repeated the presidential candidate for decades.;Netral
26/02/2023 23:42;LiliFatima3;kehadiran sandiaga untuk mengkampanyekan ketua umum gerindra prabowo subianto sebagai calon presiden  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;kehadiran sandiaga untuk mengkampanyekan ketua umum gerindra prabowo subianto sebagai calon presiden capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;the presence of sandiaga to campaign for gerindra chairperson prabowo subianto as presidential candidate for the presidential candidate for decades.;Netral
26/02/2023 23:42;kesyaAna2;sandiaga kampanyekan prabowo capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;sandiaga kampanyekan prabowo capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;sandiaga prabowo campaign candidates for decade of decade elections.;Netral
26/02/2023 23:41;LiliFatima3;kami yakin kader partai gerindra sultra dapat menangkan prabowo subianto sebagai presiden ujar dasco capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;kami yakin kader partai gerindra sultra dapat menangkan prabowo subianto sebagai presiden ujar dasco capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;we are sure that the cadre of the southeast sulawesi gerindra party can win prabowo subianto as president, said the dasco candidate for decade election.;Positif
26/02/2023 23:41;LiliFatima3;dasco mengajak terus melakukan konsolidasi baik internal kader dan bersama masyarakat untuk menangkan prabowo sebagai presiden pada pilpres  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;dasco mengajak terus melakukan konsolidasi baik internal kader dan bersama masyarakat untuk menangkan prabowo sebagai presiden pada pilpres capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;dasco invites to continue to consolidate both internal cadres and together with the community to win prabowo as president at the presidential election of the presidential candidate for the decade of terminmajubersamapowo.;Positif
26/02/2023 23:40;LiliFatima3;rakerda gerindra sultra dasco ajak rakyat menangkan prabowo subianto presiden  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;rakerda gerindra sultra dasco ajak rakyat menangkan prabowo subianto presiden capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;rakerda gerindra sultra dasco invited the people to win prabowo subianto president of the presidential candidate for the decade of decades.;Positif
26/02/2023 23:40;LiliFatima3;dan itu manuver yang cukup berpengaruh mengingat pemilih prabowo dari kalangan nahdliyin cukup dominan di jatim ujar baihaki capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;dan itu manuver yang cukup berpengaruh mengingat pemilih prabowo dari kalangan nahdliyin cukup dominan di jatim ujar baihaki capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;and that is a maneuver that is quite influential considering that prabowo's voters from the nahdliyin are quite dominant in east java, said baihaki, the candidate for the decade of decades.;Netral
26/02/2023 23:39;LiliFatima3;kita ingat beberapa bulan lalu pak prabowo bertemu para ulama khos jatim ujar baihaki capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;kita ingat beberapa bulan lalu pak prabowo bertemu para ulama khos jatim ujar baihaki capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;we remember a few months ago pak prabowo met the khos east java scholars, said baihaki, the presidential candidate for decades, a decades, said that the prabowo prabowo was my spirit;Negatif
26/02/2023 23:39;LiliFatima3;yang membuat prabowo tetap teratas di jatim karena manuver prabowo beberapa waktu lalu di jatim dengan bertemu para ulama khos asal jatim capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;yang membuat prabowo tetap teratas di jatim karena manuver prabowo beberapa waktu lalu di jatim dengan bertemu para ulama khos asal jatim capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;what makes prabowo remain the top in east java because of prabowo's maneuver some time ago in east java by meeting the khos ulama from east java, the candidate for the decade of decades, the prabersamapowo;Positif
26/02/2023 23:38;LiliFatima3;prabowo sudah diingat oleh masyarakat jatim sementara anies ini kan masih baru kalau di jatim ujar baihaki capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;prabowo sudah diingat oleh masyarakat jatim sementara anies ini kan masih baru kalau di jatim ujar baihaki capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;prabowo has been remembered by the people of east java while anies is still new if in east java, said baihaki, the candidate for the decade election, tantiajubersamaprabowo;Positif
26/02/2023 23:38;LiliFatima3;sementara prabowo dan anies sudah deklarasi akan maju capres ujar baihaki capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;sementara prabowo dan anies sudah deklarasi akan maju capres ujar baihaki capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;while prabowo and anies have declared that the presidential candidate said, said baihaki, the presidential candidate for the decade election.;Netral
26/02/2023 23:37;LiliFatima3;baihaki menyebut elektabilitas prabowo sebesar   capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;baihaki menyebut elektabilitas prabowo sebesar capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;baihaki mentioned prabowo's electability as much as the presidential candidate for decades to continue, the mest;Positif
26/02/2023 23:37;LiliFatima3;prabowo masih teratas soal elektabilitas capres di jatim ganjar pranowo kedua dan anies baswedan ketiga ujar direktur arci baihaki sirajt capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;prabowo masih teratas soal elektabilitas capres di jatim ganjar pranowo kedua dan anies baswedan ketiga ujar direktur arci baihaki sirajt capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;prabowo is still the top of the electability of the presidential candidate in east java ganjar pranowo second and anies baswedan third, said director of arci baihaki sirajt candidate for decade of decades, then madubersamaprabowo mendingprrabowo prabowo my spirit;Positif
26/02/2023 23:36;kesyaAna2;arci memaparkan hasil survei elektabilitas calon presiden di jawa timur setahun jelang pemilu  prabowo masih tertinggi di jawa timur capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;arci memaparkan hasil survei elektabilitas calon presiden di jawa timur setahun jelang pemilu prabowo masih tertinggi di jawa timur capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;arci explained the results of the electability survey of presidential candidates in east java a year ahead of the prabowo election still the highest in east java, the candidate for the decade of decade, the prabowo prabowo prabowo was my spirit;Netral
26/02/2023 23:36;LiliFatima3;survei capres arci prabowo subianto ungguli ganjar hingga anies di jatim ini faktornya capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;survei capres arci prabowo subianto ungguli ganjar hingga anies di jatim ini faktornya capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;arci prabowo candidate survey subianto excels ganjar to anies in east java, the factor is the presidential candidate for decades.;Netral
26/02/2023 23:35;LiliFatima3;menhan prabowo memimpin delegasi indonesia yang berpartisipasi dalam the th edition of the international defence exhibition and conference idex  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;menhan prabowo memimpin delegasi indonesia yang berpartisipasi dalam the th edition of the international defence exhibition and conference idex capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;defense minister prabowo led the indonesian delegation who participated in the th edition of the international defense exhibition and conference idex candidate for the candidate for decade of decades.;Netral
26/02/2023 23:34;kesyaAna2;prabowo subianto boyong industri pertahanan lokal unjuk gigi di idex  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;prabowo subianto boyong industri pertahanan lokal unjuk gigi di idex capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;prabowo subianto boyong local defense industry performs giggids in the idex of the candidate for decade of decade elections.;Netral
26/02/2023 23:34;LiliFatima3;menteri pertahanan ri prabowo subianto memboyong industri pertahanan dalam negeri untuk unjuk gigi di idex  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;menteri pertahanan ri prabowo subianto memboyong industri pertahanan dalam negeri untuk unjuk gigi di idex capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;indonesian defense minister prabowo subianto brought the domestic defense industry to show off in the idea of the presidential candidate for decades.;Netral
26/02/2023 23:33;kesyaAna2;saya ingin kader dan pengurus gerindra bisa memenangkan bapak prabowo subianto sebagai presiden di pemilu  kata sufmi dasco capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;saya ingin kader dan pengurus gerindra bisa memenangkan bapak prabowo subianto sebagai presiden di pemilu kata sufmi dasco capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;i want gerindra cadres and administrators to win mr. prabowo subianto as president in the election said sufmi dasco candidate for the decade election terminmajubersamapowo mendingprrabowo prabowo i am excit;Positif
26/02/2023 23:33;kesyaAna2;maka dasco berjanji akan membawa ketua umum prabowo subianto berkunjung di sulawesi tenggara capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;maka dasco berjanji akan membawa ketua umum prabowo subianto berkunjung di sulawesi tenggara capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;so dasco promised to bring the general chairman prabowo subianto visiting southeast sulawesi candidates for the decade of decade election.;Positif
26/02/2023 23:32;LiliFatima3;untuk itu dasco meminta capaian kemenangan di pilpres  lalu bisa terulang pada pemilu  mendatang capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;untuk itu dasco meminta capaian kemenangan di pilpres lalu bisa terulang pada pemilu mendatang capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;for this reason, dasco asks for the achievement of victory in the presidential election and then be repeated in the upcoming elections for the presidential candidate for decades.;Netral
26/02/2023 23:32;LiliFatima3;saya tentunya bangga kepada para kader dan pengurus gerindra yang telah memenangkan prabowo sandi di pilpres  lalu kata dasco capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;saya tentunya bangga kepada para kader dan pengurus gerindra yang telah memenangkan prabowo sandi di pilpres lalu kata dasco capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;i am certainly proud of the gerindra cadres and administrators who have won prabowo sandi in the presidential election then said the dasco candidate for the decade election, the teticajubersamaprabowo;Positif
26/02/2023 23:31;LiliFatima3;karena saat pilpres  lalu perolehan suara paslon prabowo sandi mencapao  persen di sulawesi tenggra dan mengalahkan paslon jokowi ma ruf amin capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;karena saat pilpres lalu perolehan suara paslon prabowo sandi mencapao persen di sulawesi tenggra dan mengalahkan paslon jokowi ma ruf amin capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;because during the presidential election then the vote acquisition of prabowo sandi's candidate pair reached percent in senggra sulawesi and defeated paslon jokowi ma ruf amin candidate for decade of decades terminamajubersamaprebowo mendingprrabowo prabowo my spirit;Netral
26/02/2023 23:31;LiliFatima3;sufmi dasco mengatakan target pemenangan gerindra dan prabowo di sultra ini karena sultra memiliki catatan baik sebagai partai pemenang pemilu capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;sufmi dasco mengatakan target pemenangan gerindra dan prabowo di sultra ini karena sultra memiliki catatan baik sebagai partai pemenang pemilu capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;sufmi dasco said the target of winning gerindra and prabowo in southeast sulawesi because southeast sulawesi has a good record as the winning party of the election of the presidential candidate for decades.;Positif
26/02/2023 23:30;kesyaAna2;dasco meminta seluruh pengurus dan kader gerindra di sulawesi tenggara bisa memenangkan prabowo subianto di pilpres  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;dasco meminta seluruh pengurus dan kader gerindra di sulawesi tenggara bisa memenangkan prabowo subianto di pilpres capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;dasco asks all gerindra management and cadres in southeast sulawesi to win prabowo subianto at the presidential election of the decade of the terminmajubersamapowo.;Positif
26/02/2023 23:30;LiliFatima3;ketua harian gerindra sufmi dasco ahmad minta kader di sultra ulang kemenangan prabowo subianto pilpres  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;ketua harian gerindra sufmi dasco ahmad minta kader di sultra ulang kemenangan prabowo subianto pilpres capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;daily chairman gerindra sufmi dasco ahmad asks cadres in southeast sulawesi re -victory prabowo subianto presidential election presidential candidates for decade of terminmajubersamaprabowo mendingpribowo prabowo i am excit;Netral
26/02/2023 23:29;LiliFatima3;partai gerindra selalu hadir memperjuangkan kepentingan rakyat karena itu menangkan prabowo subianto sebagai presiden ujar sandiaga capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;partai gerindra selalu hadir memperjuangkan kepentingan rakyat karena itu menangkan prabowo subianto sebagai presiden ujar sandiaga capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;the gerindra party is always present to fight for the interests of the people because it won prabowo subianto as president sandiaga, the candidate for the decade election, terminmajubersamaprabowo, prabowo, my spirit;Netral
26/02/2023 23:29;LiliFatima3;sandiaga menegaskan partai gerindra selalu memperjuangkan kepentingan rakyat agar sejahtera dan makmur capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;sandiaga menegaskan partai gerindra selalu memperjuangkan kepentingan rakyat agar sejahtera dan makmur capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;sandiaga emphasized that the gerindra party always fought for the interests of the people so that prosperity and prosperous presidential candidates for decades continu;Netral
